college,percentage,Location,Stream
"Vivek Vidyalaya & Jr. College, Goregaon (W). (English Medium) (Aided)",50.8,Mumbai,Arts
"H.B.P.Shree Damaji Ganpat Gowari Vidyalaya & Jr. College, Kamothe. (Marathi Medium) (Self Finance)",50.2,Mumbai,Arts
Abdullah Patel High School & Junior College (English Medium) (Aided),50,Mumbai,Arts
Valia Junior College Of Arts Science And Commerce (English Medium) (Aided),49.8,Mumbai,Arts
"Guru Nanak Khalsa College Of Arts Science And Commerce, Matunga (East), Mumbai. (English Medium) (Aided)",49.2,Mumbai,Arts
"Burhani College Of Commerce & Arts, Mazagaon. ( For Girls Only) (English Medium) (Aided)",48.8,Mumbai,Arts
"Kirti M Doongursee College, Kashinath Dhuru Road, Dadar (W), Mumbai. (English Medium) (Aided)",48.4,Mumbai,Arts
Dr R L Shukla Jr College Of Arts And Commerce Dombivli West (Hindi Medium) (Permanent Unaided),48.4,Mumbai,Arts
"Ramniranjan Jhunjhunwala College, Ghatkopar (W). (English Medium) (Aided)",48.2,Mumbai,Arts
"Aan E Islam Junior College, Mumbra (English Medium) (Self Finance)",47,Mumbai,Arts
"Karmaveer Bhaurao Patil Jr. College, Vashi (English Medium) (Aided)",46.2,Mumbai,Arts
Gandhi Memorial English High School & Jr. College (English Medium) (Self Finance),46,Mumbai,Arts
"Rosary Convent High School &Jr. College, Mumbai Pune Road, Mumbra (English Medium) (Unaided)",45.6,Mumbai,Arts
"St. Mary Junior College Ofscience And Commerce, Diva (E) (English Medium) (Permanent Unaided)",45.4,Mumbai,Arts
Maji Amdar Dattushet Patil Junior College Kamothe (Marathi Medium) (Self Finance),45,Mumbai,Arts
"K. V. Pendharkar Junior College, Dombivali(East). (English Medium) (Aided)",44.8,Mumbai,Arts
"Yakub Baig High School & Jr. College, Panvel (Urdu Medium) (Aided)",44.8,Mumbai,Arts
"Iqra English Highschool & Jr. College Ambernath (W), Mumbai. (English Medium) (Self Finance)",44.6,Mumbai,Arts
Symbiosis Junior College Of Science Commerce And Arts For Girls Kausa Shil (English Medium) (Self Finance),44.4,Mumbai,Arts
Rizvi College Of Arts Sci & Com Bandra West (English Medium) (Aided),44.2,Mumbai,Arts
"Mesco Education Societys Crescent English High School And Jr College, Kausa, Mumbra (English Medium) (Self Finance)",44.2,Mumbai,Arts
"Sardar Trilochan Singh Sahney Junior College, Khar (West), Mumbai. (English Medium) (Self Finance)",44.2,Mumbai,Arts
Noor Ul Islam Urdu High School & Jr. College Govandi (Urdu Medium) (Aided),44,Mumbai,Arts
"Dr. Babasaheb Ambedkar High School & Jr College, Chembur, Mumbai. (English Medium) (Unaided)",44,Mumbai,Arts
"Queen Marys High School And Jr. College, Kausa. (English Medium) (Self Finance)",43.8,Mumbai,Arts
"Royal Public Academy & Jr. College, Mankhurd, Mumbai. (English Medium) (Permanent Unaided)",43.4,Mumbai,Arts
"Bhaskar Hindi Vidyalaya & Jr. College, Ambivali. (Hindi Medium) (Self Finance)",43.4,Mumbai,Arts
St Haris High School And Hajra Girls Junior College Of Arts Commerce And Science (English Medium) (Self Finance),43.4,Mumbai,Arts
"S. M. G. Vidyalaya & Junior College, Sonarpada, Dombivali (E). (English Medium) (Self Finance)",43.4,Mumbai,Arts
"Shri M. P. Shah Jr. College Of Arts & Com. For Women, R. A. Kidwai Road, Matunga, Mumbai. (Gujarati Medium) (Aided)",43.2,Mumbai,Arts
L.S. Raheja College Of Arts & Commerce (English Medium) (Aided),43.2,Mumbai,Arts
"Shri Mahadev Upadhyaya Madhyamik Vidyalay & Jr. College, Vikhroli (E). (Hindi Medium) (Unaided)",43.2,Mumbai,Arts
Sheth T. J. (Guj) Highschool And Sheth Nktt Jr College Of Com And Sheth Jtt Jr College Of Arts Sci (English Medium) (Aided),42.6,Mumbai,Arts
"Shakila Bano Shoeb Girls High School & Jr. College, Kausa Mumbra. (English Medium) (Self Finance)",42.4,Mumbai,Arts
Nutan Hindi High School And Junior College Kalyan East (Hindi Medium) (Unaided),42.4,Mumbai,Arts
"Ridwan Harris Ideal High School And Junior College, Thane (West). (English Medium) (Aided)",42.2,Mumbai,Arts
"Amcha Ghar High School & Junior College, Uttan (English Medium) (Self Finance)",42.2,Mumbai,Arts
"Maharastra College Of Arts,Sci. &Comm Nagpada Mumbai (English Medium) (Aided)",42,Mumbai,Arts
Durgadevi Saraf Jr College Malad West (English Medium) (Permanent Unaided),42,Mumbai,Arts
"Hasha Rama Patil Secondary & Higher Secondary School,Shil Village (Marathi Medium) (Unaided)",42,Mumbai,Arts
"R. F. Naik Vidyalya Secondary & Higher Secondary School, Sector 8, Koparkhairne, Navi Mumbai. (Marathi Medium) (Aided)",41.8,Mumbai,Arts
"Icles'S Motilal Jhunjhunwala College, Vashi (English Medium) (Aided)",41.8,Mumbai,Arts
"National Urdu Jr. College, Kalyan (W). (Urdu Medium) (Aided)",41.6,Mumbai,Arts
"Takshshila Vidyalay Secondary School And Junior College, Subhash Tekadi, Ulhasnagar (Marathi Medium) (Aided)",41.6,Mumbai,Arts
S.E.S. Banthiya Mady. N N Paliwala Jr College New Panvel (Marathi Medium) (Aided),41.6,Mumbai,Arts
"Abdullah Patel English High School And Jr College, Mumbra. (English Medium) (Permanent Unaided)",41.6,Mumbai,Arts
South Indian Secondary And Higher Sec. School Shastri Nagar Dombivli West (English Medium) (Aided),41.2,Mumbai,Arts
R.K.Hindi Sec.Sch. Junior College (Hindi Medium) (Unaided),41.2,Mumbai,Arts
Guru Nanak Higher Secondary School & Jr. College Guru Tegh Bahadur Nagar Mumbai (English Medium) (Aided),41,Mumbai,Arts
Golden Nest College Of Science Commerce And Arts (English Medium) (Self Finance),40.8,Mumbai,Arts
"R. N. Vidyalaya And Junior College, Ganesh Nagar, Diva (E). (Marathi Medium) (Self Finance)",40.8,Mumbai,Arts
"Sophia Junior College, Grant Road (English Medium) (Aided)",40.6,Mumbai,Arts
"Evergreen English School & Junior College, Govandi (English Medium) (Self Finance)",40.4,Mumbai,Arts
"St. Thosmas Highschool & Junior College, Mira Road, Thane. (English Medium) (Self Finance)",40.4,Mumbai,Arts
"Chetana'S Junior College Of Commerce And Arts, Bandra (E) (English Medium) (Aided)",40.2,Mumbai,Arts
"M.S.Public High School & Jr. College, Kausa Mumbra. (English Medium) (Self Finance)",40.2,Mumbai,Arts
"Central Public English High School & Jr. College Arts & Comm, Mumbra. (English Medium) (Unaided)",40.2,Mumbai,Arts
"V. K. Bhoir Junior College, Dombivli (West) (Marathi Medium) (Permanent Unaided)",40,Mumbai,Arts
Babaji Sakharam Patil Mar. Sec. Mumbra (Marathi Medium) (Unaided),40,Mumbai,Arts
Anjuman I Islams Junior College Of Arts Science For Girls Byculla (English Medium) (Aided),39.4,Mumbai,Arts
"Mahatma Education Societys High School & Jr. College, Khanda Colony, New Panvel (English Medium) (Aided)",39.4,Mumbai,Arts
"Changu Kana Thakur Secondary & Higher Secondary Vidyalaya, New Panvel. (Marathi Medium) (Aided)",39.2,Mumbai,Arts
"Janata Vidyamandir Jr. College, Ajivali. (Marathi Medium) (Aided)",39.2,Mumbai,Arts
"Mahaveer High School & Jr. College, Kalyan (W) (Hindi Medium) (Permanent Unaided)",39.2,Mumbai,Arts
"Ch. Rajashree Shahu Maharaj Secondary School, Badlapur (W). (Marathi Medium) (Permanent Unaided)",39.2,Mumbai,Arts
Badlapur Highschool And Jr College Badlapur (Marathi Medium) (Permanent Unaided),39.2,Mumbai,Arts
"Don Bosco High School & Jr. College, Vazira Naka, Borivli (W) (English Medium) (Permanent Unaided)",39.2,Mumbai,Arts
"Baba Bodse Jr. College Of Arts, Science & Comm, Kalyan (E) (Hindi Medium) (Self Finance)",39.2,Mumbai,Arts
"Ideal High School & Jr. College, Trombay, Mumbai (Urdu Medium) (Aided)",39,Mumbai,Arts
"Kiddies Paradise Jr. College, Kausa Mumbra. (English Medium) (Permanent Unaided)",39,Mumbai,Arts
St Anthony'S Convent Higher Seconadary School Badlapur(W) (English Medium) (Permanent Unaided),39,Mumbai,Arts
"Allen Social Welfare English School & Jr. College, Kalyan (W). (English Medium) (Self Finance)",39,Mumbai,Arts
"St. Agrasen High School & Jr. College, Kalwa (East), Thane. (English Medium) (Self Finance)",39,Mumbai,Arts
"S. D. M. English High School & Jr. College, Badlapur (E). (English Medium) (Self Finance)",39,Mumbai,Arts
M. J. Jr. College Of Science Commerce Arts Badlapur(E) (English Medium) (Self Finance),38.8,Mumbai,Arts
"St. Ulai High School & Jr. College, Thane (W) (Hindi Medium) (Permanent Unaided)",38.6,Mumbai,Arts
"Narendra Convent High School & Junior College Of Arts, Science & Commerce, Dombivali (E) (English Medium) (Self Finance)",38.6,Mumbai,Arts
"Thakur Ramnarayan College Of Arts & Commerce, Dahisar (E). (English Medium) (Self Finance)",38.6,Mumbai,Arts
"Gayatri Secondary & Higher Secondary School, Kolsewadi, Kalyan. (Marathi Medium) (Unaided)",38.6,Mumbai,Arts
"Namdar Ajit Pawar Jr College Arts, Commerce And Career Launcher Jr College Of Science, Borivali (W) (English Medium) (Self Finance)",38.6,Mumbai,Arts
"Don Bosco High School & Jr. College Of Arts Commerce Science,Tagore Nagar, Vikhroli (E) (English Medium) (Permanent Unaided)",38.4,Mumbai,Arts
Sushma Patil Secondary And Junior College Kamothe (Marathi Medium) (Permanent Unaided),38.4,Mumbai,Arts
"St. Joseph Aglo Marathi High School & Jr. College, Uttan (Marathi Medium) (Aided)",38.2,Mumbai,Arts
"Joymax English High School & Junior College, Ghatkopar (East) (English Medium) (Permanent Unaided)",38.2,Mumbai,Arts
"M. S. Junior College Of Girls, Kausa Mumbra (English Medium) (Self Finance)",38.2,Mumbai,Arts
The Bms'S V. K. Krishna Menon Junior College Borivali West (English Medium) (Self Finance),38.2,Mumbai,Arts
"N E S High School & Jr. College, Bhandup (W) (English Medium) (Aided)",38,Mumbai,Arts
"Smt. T. S. Bafna Jr College Of Arts & Com. Near Liberty Garden, Malad (West) (Gujarati Medium) (Aided)",38,Mumbai,Arts
The Bombay Suburban Grain Dealers Junior College Of Commerce Arts And Science (English Medium) (Permanent Unaided),38,Mumbai,Arts
"Aditya Academy High School & Jr. College, Goregaon (E) (English Medium) (Self Finance)",38,Mumbai,Arts
"Agri Shikshan Sansth'S Higher Secondary School, Panvel. (Marathi Medium) (Self Finance)",38,Mumbai,Arts
"Lilawati Arts Comm.Sci Jr. College, Dativali (Marathi Medium) (Unaided)",38,Mumbai,Arts
Global College Of Arts And Commerce Dombivali East (Marathi Medium) (Permanent Unaided),37.8,Mumbai,Arts
M S P M'S Junior College Of Arts & Com. Kharghar (Marathi Medium) (Permanent Unaided),37.8,Mumbai,Arts
"Sanskar Jr College Of Arts And Commerce, Santacruz (W). (English Medium) (Self Finance)",37.8,Mumbai,Arts
"Shetkari Shikshan Sanstha Jr. College, Ghansoli. (Marathi Medium) (Aided)",37.6,Mumbai,Arts
"Kala Vidyamandir & Jr. College, Marol, Andheri (E) (English Medium) (Aided)",37.6,Mumbai,Arts
"Maniben Nanavati Women'S College, Vile Parle (West) (English Medium) (Aided)",37.6,Mumbai,Arts
"K.E.S. K.V. Kanya Vidyalaya & Jr. College, Panvel. (Marathi Medium) (Aided)",37.6,Mumbai,Arts
Shankar Narayan Junior College Of Arts Science And Commerce Bhayander (East) (English Medium) (Permanent Unaided),37.6,Mumbai,Arts
Awami Girls' High School And Junior College Of Arts Science And Commerce (English Medium) (Permanent Unaided),37.6,Mumbai,Arts
Jiten Mody Junior College Kandivali West Mumbai (English Medium) (Self Finance),37.6,Mumbai,Arts
"Lords Grace Enlish School & Jr. College, Kandivali (E). (English Medium) (Self Finance)",37.6,Mumbai,Arts
"Kai Gajanan Hiru Patil English School & Jr. College, Atali, Ambivali (W). (English Medium) (Self Finance)",37.6,Mumbai,Arts
"Shree Durgamata Hindi High School Sadhana Junior College, Wagale Estate, Thane (W). (Hindi Medium) (Unaided)",37.6,Mumbai,Arts
"Queen Mary S English High School & Junior College, Golden Nest, Mira Road (E). (English Medium) (Permanent Unaided)",37.4,Mumbai,Arts
"Apostolic Carmel High School And Junior College, Bandra (W) (English Medium) (Permanent Unaided)",37.4,Mumbai,Arts
Yash Junior College Dombivali West (Marathi Medium) (Unaided),37.4,Mumbai,Arts
"Maa Bharti Hindi High School & Jr. College, Bhyander (Hindi Medium) (Unaided)",37.4,Mumbai,Arts
"Smt.Chm College, Ulhasnagar 3. (English Medium) (Aided)",37.2,Mumbai,Arts
"Ramnivas Ruia Junior College, Matunga, Mumbai. (Marathi Medium) (Aided)",37.2,Mumbai,Arts
A. P. Bhoir Vidyalaya & Ragunathsheth Jitekar Jr. College. (Marathi Medium) (Aided),37.2,Mumbai,Arts
Children Welfare Centre Junior College Of Arts & Commerce (English Medium) (Self Finance),37.2,Mumbai,Arts
"K. V. Pendharkar Junior College, Dombivali(East). (Marathi Medium) (Aided)",37,Mumbai,Arts
Sheth T. J. (Guj) Highschool And Sheth Nktt Jr College Of Com And Sheth Jtt Jr College Of Arts Sci (Marathi Medium) (Aided),37,Mumbai,Arts
"Sir Elly Kadoorie High School Jr. College, Mazgaon, Mumbai. (Marathi Medium) (Aided)",37,Mumbai,Arts
"M.D. College Of Arts, Science .Commerce And Hsvc, Parel, Mumbai. (English Medium) (Aided)",37,Mumbai,Arts
"Shri Samarth Vidyalaya & Jr. College, Meghwadi, Jogeshwari (East), Mumbai. (English Medium) (Aided)",37,Mumbai,Arts
The Bombay Suburban Grain Dealers Junior College Of Commerce Arts And Science (English Medium) (Aided),37,Mumbai,Arts
"Banegar English High School & Hafiza Jr College Of Arts Sci & Com, Mira Road (East). (English Medium) (Permanent Unaided)",37,Mumbai,Arts
"St. Paul English School & Jr. College, Behind Vtc Ground, Ulhasnagar. (English Medium) (Permanent Unaided)",37,Mumbai,Arts
"Cess Marceline Junior College Of Arts Science And Commerce, Kurla (W). (English Medium) (Permanent Unaided)",37,Mumbai,Arts
"Divine Provident High School & Jr. College, Malad (W). (English Medium) (Self Finance)",37,Mumbai,Arts
"Adarsh Hindi High School & Jr. College Arts And Commerce, Antop Hill, Wadala, Mumbai. (Hindi Medium) (Unaided)",37,Mumbai,Arts
G.E.I.S Subhedarwada Secondary School Kalyan (Marathi Medium) (Aided),36.8,Mumbai,Arts
"Hume High School And Jr College, Byculla, Mumbai. (English Medium) (Aided)",36.8,Mumbai,Arts
"K. M. S. P. Mandal'S S.I.H. Bhatia High School & Jr. College, Kurla (W). (Marathi Medium) (Aided)",36.8,Mumbai,Arts
Safa High School & Jr. College (English Medium) (Permanent Unaided),36.8,Mumbai,Arts
"New City International School & Jr. College, Kharghar. (English Medium) (Permanent Unaided)",36.8,Mumbai,Arts
"Sacred Heart High School & Jr. College, Vashi. (English Medium) (Self Finance)",36.8,Mumbai,Arts
"Dnyanpeeth Vidyalaya & Junior College, Manorama Nagar, Thane (W) (Marathi Medium) (Self Finance)",36.8,Mumbai,Arts
"Saraswati Vidyamandir High School & Junior College, Malad (E). (English Medium) (Self Finance)",36.8,Mumbai,Arts
"St. Anthony'S High School & Jr. College, Mira Road (E). (English Medium) (Self Finance)",36.8,Mumbai,Arts
Cummoo Jaffer Suleman Girl'S High School & Jr. College Of Arts & Commerce (English Medium) (Unaided),36.8,Mumbai,Arts
"Asmita College Of Arts And Commerce, Mira Road (E) (English Medium) (Unaided)",36.8,Mumbai,Arts
Model College Dombivli East (English Medium) (Aided),36.6,Mumbai,Arts
"B K Birla College Of Arts, Science & Commerce, Kalyan (W). (Marathi Medium) (Aided)",36.6,Mumbai,Arts
R.V.Nerurkar High School And Jr College Dombivli East (Marathi Medium) (Aided),36.6,Mumbai,Arts
"S.I.C.E.S.High School And Junior College, Ambernath. (English Medium) (Aided)",36.6,Mumbai,Arts
Social Service League High School & Jr. College (English Medium) (Aided),36.6,Mumbai,Arts
L.J.N.J. Mahila Mahavidyalaya (Marathi Medium) (Aided),36.6,Mumbai,Arts
"Shriniwas Bagarka Jr College Of Arts Com & Sci., J. B. Nagar, Andheri (East), Mumbai. (English Medium) (Aided)",36.6,Mumbai,Arts
"Smt. T. S. Bafna Jr College Of Arts & Com. Near Liberty Garden, Malad (West) (Hindi Medium) (Aided)",36.6,Mumbai,Arts
Mahatma Phule A.S.C. College Panvel (Marathi Medium) (Aided),36.6,Mumbai,Arts
"Sakharam Sheth Jr. College, Katai (Marathi Medium) (Permanent Unaided)",36.6,Mumbai,Arts
"Mumbra College Of Sci.,Art & Com., Mumbra, Thane. (English Medium) (Permanent Unaided)",36.6,Mumbai,Arts
"Vishwabharati Jr.College,Koparkhairane (English Medium) (Self Finance)",36.6,Mumbai,Arts
"P.E.S. English School & Junior College, Panvel. (English Medium) (Self Finance)",36.6,Mumbai,Arts
"Satyanarayan Sitaram English High School & Junior College, Javsai Gaon, Ambernath (W). (English Medium) (Self Finance)",36.6,Mumbai,Arts
"B. S. Jondhale Vidyamandir & Jr. College, Mumbra, Thane. (English Medium) (Unaided)",36.6,Mumbai,Arts
"Aadarsha Vidya. Mar. High School And Jr College, Thane (W). (Marathi Medium) (Unaided)",36.6,Mumbai,Arts
"R. K. Talreja College Of Arts Science And Commerce, Ulhasnagar 421003. (English Medium) (Aided)",36.4,Mumbai,Arts
"S. N. D. T. College Of Arts & Scb College Of Comm. & Sci. For Women, Churchgate. (Marathi Medium) (Aided)",36.4,Mumbai,Arts
"B. M. Ruia Girls' College, Gamdevi, Mumbai (English Medium) (Aided)",36.4,Mumbai,Arts
"Shri Dayanand Balika Vidyalaya & Jr. College, Matunga C.R., Mumbai. (Hindi Medium) (Aided)",36.4,Mumbai,Arts
"Smt. S. T. Mehta Womens Jr. College, Cama Lane, Ghatkopar (W). (Gujarati Medium) (Aided)",36.4,Mumbai,Arts
"Map Khan High School & Jr. College Of Arts & Commerce, Marol Maroshi Road, Andheri East (English Medium) (Aided)",36.4,Mumbai,Arts
"Dnyandeep Seva Mandal Jr. College, Karave (Marathi Medium) (Permanent Unaided)",36.4,Mumbai,Arts
"Bhavika Vidya. Marathi Secondary School And Jr. College, Kalwa (English Medium) (Permanent Unaided)",36.4,Mumbai,Arts
Shri Sidh Thakurnath College Of Arts & Commerce Ulhasnagar East (Marathi Medium) (Permanent Unaided),36.4,Mumbai,Arts
"Navneet Jr. College Of Arts, Science & Comm., Opp. Mumbai Central Rly. Station, Mumbai. (English Medium) (Permanent Unaided)",36.4,Mumbai,Arts
"Gurukrupa Secondary & Higher Secondary High School, Kalyan (W) (English Medium) (Self Finance)",36.4,Mumbai,Arts
"S.S.P. Mandal'S Dr. S.V. Samant Jr. College, Turbhe (Marathi Medium) (Self Finance)",36.4,Mumbai,Arts
Little Angels English Medium High School And Junior College Ghodbunder Road Thane West (English Medium) (Self Finance),36.4,Mumbai,Arts
"All Saints International Junior College, Of Arts Commerce And Science ,Kisan Nagar 3,Thane (W) (English Medium) (Self Finance)",36.4,Mumbai,Arts
"Guru Nanak Khalsa College Of Arts Science And Commerce, Matunga (East), Mumbai. (English Medium) (Self Finance)",36.4,Mumbai,Arts
"Smt. Trupti G. Nemade Jr. College Of Arts, Commerce & Science, Thane. (English Medium) (Self Finance)",36.4,Mumbai,Arts
"K.E.S. V.K. High School & Jr. College, Panvel (Marathi Medium) (Unaided)",36.4,Mumbai,Arts
"Ganesh Secondary Vidyalaya, Titwala (E). (Marathi Medium) (Aided)",36.2,Mumbai,Arts
"R. K. Talreja College Of Arts Science And Commerce, Ulhasnagar 421003. (Marathi Medium) (Aided)",36.2,Mumbai,Arts
Bal Vidya Mandir And Karmaveer Bhaurao Patil Junior College Thane (Marathi Medium) (Aided),36.2,Mumbai,Arts
"Savitribai Phule Girl'S High School & Jr. College, Sakinaka. (Marathi Medium) (Aided)",36.2,Mumbai,Arts
"Dayanand Vedic Vidyalaya H H S And Jr College, Mulund (West) (English Medium) (Aided)",36.2,Mumbai,Arts
"Shri. Bhausaheb Vartak Arts, Com. & Sci. College, Borivali (West). (English Medium) (Aided)",36.2,Mumbai,Arts
"A. D. Mhatre High School & Jr. College, Navade (Marathi Medium) (Aided)",36.2,Mumbai,Arts
"Seth Hirachand Mutha College, Kalyan (W) (Marathi Medium) (Permanent Unaided)",36.2,Mumbai,Arts
Navhind Jr.College Of Comm.& Arts (Marathi Medium) (Permanent Unaided),36.2,Mumbai,Arts
"St Mathews Eng High School & Jr. College, Malvani (English Medium) (Permanent Unaided)",36.2,Mumbai,Arts
"Ramzanali Shaikh English High School & Jr. College, Malwani Malad (West), Mumbai. (English Medium) (Permanent Unaided)",36.2,Mumbai,Arts
"Kamladevi Junior College Of Arts Commerce Science , Vitthalwadi (E). (English Medium) (Self Finance)",36.2,Mumbai,Arts
"Patil Balmandir (Mar Sec), Mohane (Marathi Medium) (Unaided)",36.2,Mumbai,Arts
R.J.Junior College Ulh.3 (Marathi Medium) (Unaided),36.2,Mumbai,Arts
S.E.S. Banthiya Mady. N N Paliwala Jr College New Panvel (Marathi Medium) (Unaided),36.2,Mumbai,Arts
"Abhinav Vidyamandir & Jr. College, Bhayandar (E) (English Medium) (Aided)",36,Mumbai,Arts
"New Kalwa High School And Jr College, Kalwa (W). (Marathi Medium) (Aided)",36,Mumbai,Arts
"Shantigram Vidyamandir Late Sau. Neeta Gawade Jr. College, Ulhasnagar (Marathi Medium) (Aided)",36,Mumbai,Arts
Sanket Jr College Manpada Thane (Marathi Medium) (Aided),36,Mumbai,Arts
"S. N. D. T. College Of Arts & Scb College Of Comm. & Sci. For Women, Churchgate. (English Medium) (Aided)",36,Mumbai,Arts
Bharatiya Vidya Bhavan'S H. S. College Of Arts & Science (Bhavans College) (English Medium) (Aided),36,Mumbai,Arts
"Shri M. P. Shah Jr. College Of Arts & Com. For Women, R. A. Kidwai Road, Matunga, Mumbai. (Marathi Medium) (Aided)",36,Mumbai,Arts
"Sandesh Vidyalaya And Junior College, Tagor Nagar, Vikhroli (E). (English Medium) (Aided)",36,Mumbai,Arts
"Smt. T. S. Bafna Jr College Of Arts & Com. Near Liberty Garden, Malad (West) (English Medium) (Aided)",36,Mumbai,Arts
S.E.S Secondary & Higher Secondary School Kalamboli (Marathi Medium) (Aided),36,Mumbai,Arts
"Smt. S. V. Patil Jr. College Arts & Commerce, Nilje, Dombivali (E) (Marathi Medium) (Permanent Unaided)",36,Mumbai,Arts
"Vishwas Jr College, Kamananagar, Katemanoli, Kalyan East, Mumbai (Marathi Medium) (Permanent Unaided)",36,Mumbai,Arts
Holy Family Day School & Jr College Mira Road East (English Medium) (Permanent Unaided),36,Mumbai,Arts
"Rajarshi Shahu Junior College, Dharavi, Sion (W). (English Medium) (Permanent Unaided)",36,Mumbai,Arts
"Shrimati Sitadevi & Sahibram English Medium High School & Junior College Of Science, Arts & Commerce, Kurla (W). (English Medium) (Permanent Unaided)",36,Mumbai,Arts
"Awami Jr College Of Arts & Com., S. V. Road, Bandra (W), Mumbai. (English Medium) (Permanent Unaided)",36,Mumbai,Arts
"D. G. Tatkare Junior College, Kalamboli. (Marathi Medium) (Permanent Unaided)",36,Mumbai,Arts
"Kent Vally Internationa School & B. N. Pawar Junior College, Titwala, Kalyan. (English Medium) (Self Finance)",36,Mumbai,Arts
"B.K. Patil Junior College, Taloja. (Marathi Medium) (Self Finance)",36,Mumbai,Arts
"Rajarshi Shahu Maharaj Vidyalaya & Junior College, Wagle Estate, Thane (W). (English Medium) (Self Finance)",36,Mumbai,Arts
Peoples Education Society'S Secondary School And Jr College Cbd Navi Mumbai (Marathi Medium) (Aided),35.8,Mumbai,Arts
"Shri M. P. Shah Jr. College Of Arts & Com. For Women, R. A. Kidwai Road, Matunga, Mumbai. (English Medium) (Aided)",35.8,Mumbai,Arts
"Swami Vivekanand Vidyalaya & Kanistha Mahavidyalaya, Kurla (E) (Hindi Medium) (Aided)",35.8,Mumbai,Arts
"Sandesh Vidyalaya And Junior College, Tagor Nagar, Vikhroli (E). (Marathi Medium) (Aided)",35.8,Mumbai,Arts
"R. D National College & W.A. Science College, Bandra West (English Medium) (Aided)",35.8,Mumbai,Arts
"N. R. Bhagat Secondary & Higher Secondary School, Nerul, Navi Mumbai. (English Medium) (Permanent Unaided)",35.8,Mumbai,Arts
Ruby English High School & Jr. College Govandi (English Medium) (Permanent Unaided),35.8,Mumbai,Arts
"Kamladevi Jain High School & Jr. College, Andheri (West). (English Medium) (Permanent Unaided)",35.8,Mumbai,Arts
Montfort Junior College Of Arts & Commerce Prabhadevi Dadar (English Medium) (Self Finance),35.8,Mumbai,Arts
"Guardian High School & Jr. College, Dombivli (East). (English Medium) (Self Finance)",35.8,Mumbai,Arts
"Oyster International School , Koparkhairane, Navi Mumbai (English Medium) (Self Finance)",35.8,Mumbai,Arts
"New Modern English High School And Kamladevi Junior Colllege, Vitthalwadi (E). (English Medium) (Unaided)",35.8,Mumbai,Arts
"Vasudev Vidyalaya & Jr. College, Andheri (East) (Hindi Medium) (Unaided)",35.8,Mumbai,Arts
New Girls School And Junior College Thane (Marathi Medium) (Aided),35.6,Mumbai,Arts
